Emoji,Negative,Positive
😂,0.247161811,0.468130215
❤,0.044099379,0.790186335
♥,0.035274356,0.692889138
😍,0.051737695,0.729674477
😭,0.436482085,0.34310532
😘,0.052905702,0.754660088
😊,0.059322034,0.704017577
👌,0.093675214,0.657435897
💕,0.04125,0.674166667
👏,0.104023973,0.624571918
😁,0.12699863,0.576975788
☺,0.062075655,0.720174588
♡,0.05164557,0.721518987
👍,0.114886731,0.637001079
😩,0.591261062,0.22289823
🙏,0.0805718,0.498375569
✌,0.112777053,0.576923077
😏,0.111695138,0.444152431
😉,0.099276792,0.563445102
🙌,0.100929615,0.661354582
🙈,0.163461538,0.596153846
💪,0.071682044,0.627395316
😄,0.136623748,0.558655222
😒,0.59133574,0.216606498
💃,0.04389881,0.779761905
💖,0.042755344,0.756136184
😃,0.071310116,0.629353234
😔,0.463900415,0.317842324
😱,0.263716814,0.453982301
🎉,0.038222222,0.777777778
😜,0.111111111,0.567149758
☯,0.005040323,0.006048387
🌸,0.039112051,0.691331924
💜,0.043663472,0.699680511
💙,0.031798246,0.764254386
✨,0.050707547,0.403301887
😳,0.327423168,0.345153664
💗,0.050239234,0.709330144
★,0.030193237,0.314009662
█,0.088972431,0.056390977
☀,0.026717557,0.493638677
😡,0.533068783,0.35978836
😎,0.104774536,0.598143236
😢,0.384512684,0.391188251
💋,0.038147139,0.731607629
😋,0.044959128,0.678474114
🙊,0.133793103,0.594482759
😴,0.422005571,0.341225627
🎶,0.095577746,0.634807418
💞,0.03930131,0.781659389
😌,0.139849624,0.62406015
🔥,0.122887865,0.262672811
💯,0.28100471,0.40188383
🔫,0.493377483,0.298013245
💛,0.041528239,0.754152824
💁,0.191256831,0.519125683
💚,0.076350093,0.73556797
♫,0.061913696,0.350844278
😞,0.479323308,0.360902256
😆,0.15370019,0.565464896
😝,0.131048387,0.556451613
😪,0.43153527,0.350622407
�,0.165254237,0.252118644
😫,0.48608137,0.340471092
😅,0.292207792,0.471861472
👊,0.26419214,0.493449782
💀,0.469298246,0.260964912
😀,0.08428246,0.656036446
😚,0.047169811,0.761792453
😻,0.067146283,0.690647482
©,0.129807692,0.247596154
👀,0.226829268,0.290243902
💘,0.04556962,0.734177215
🐓,0.106770833,0.135416667
☕,0.138743455,0.384816754
👋,0.157068063,0.573298429
✋,0.328042328,0.455026455
🎊,0.055096419,0.782369146
🍕,0.053977273,0.474431818
❄,0.097421203,0.607449857
😥,0.316715543,0.439882698
😕,0.602941176,0.202941176
💥,0.069908815,0.218844985
💔,0.414634146,0.292682927
😤,0.480122324,0.26911315
😈,0.203076923,0.470769231
►,0.123076923,0.286153846
✈,0.040372671,0.459627329
🔝,0.085808581,0.564356436
😰,0.437086093,0.417218543
⚽,0.050167224,0.672240803
😑,0.515050167,0.200668896
👑,0.040268456,0.741610738
😹,0.298305085,0.440677966
👉,0.068493151,0.462328767
🍃,0.099656357,0.481099656
🎁,0.038194444,0.805555556
😠,0.565972222,0.263888889
🐧,0.038732394,0.5
☆,0.028368794,0.460992908
🍀,0.021582734,0.309352518
🎈,0.014440433,0.740072202
🎅,0.025547445,0.346715328
😓,0.432234432,0.351648352
😣,0.542435424,0.328413284
😐,0.555555556,0.162962963
✊,0.137037037,0.57037037
😨,0.434944238,0.293680297
😖,0.485074627,0.328358209
💤,0.142322097,0.516853933
💓,0.057915058,0.72972973
👎,0.496124031,0.30620155
💦,0.138888889,0.615079365
✔,0.124497992,0.397590361
😷,0.475609756,0.304878049
⚡,0.040650407,0.219512195
🙋,0.127118644,0.618644068
🎄,0.063559322,0.601694915
💩,0.410480349,0.292576419
🎵,0.103139013,0.609865471
➡,0.009009009,0.157657658
😛,0.081818182,0.690909091
😬,0.26635514,0.462616822
👯,0.113744076,0.559241706
💎,0.052631579,0.622009569
🌿,0.004807692,0.394230769
🎂,0.07960199,0.701492537
🌟,0.055276382,0.386934673
🔮,0.030150754,0.301507538
❗,0.156565657,0.257575758
👫,0.218274112,0.47715736
🏆,0.030927835,0.768041237
✖,0.041450777,0.357512953
☝,0.141361257,0.455497382
😙,0.015706806,0.806282723
⛄,0.073298429,0.602094241
👅,0.121052632,0.589473684
♪,0.078947368,0.621052632
🍂,0.031746032,0.587301587
💏,0.178378378,0.572972973
🔪,0.207650273,0.278688525
🌴,0.073033708,0.606741573
👈,0.08045977,0.511494253
🌹,0.01744186,0.627906977
🙆,0.087719298,0.596491228
➜,0.047058824,0.211764706
👻,0.166666667,0.398809524
💰,0.154761905,0.410714286
🍻,0.103030303,0.624242424
🙅,0.460606061,0.254545455
🌞,0.018518519,0.586419753
🍁,0.031055901,0.52173913
⭐,0.031446541,0.622641509
▪,0.094339623,0.295597484
🎀,0.038461538,0.679487179
━,0.08974359,0.269230769
☷,0.012987013,0.077922078
🐷,0.072368421,0.447368421
🙉,0.173333333,0.513333333
🌺,0.013333333,0.573333333
💅,0.181208054,0.577181208
🐶,0.081081081,0.668918919
🌚,0.155405405,0.628378378
👽,0.089041096,0.410958904
🎤,0.118055556,0.604166667
👭,0.138888889,0.611111111
🎧,0.126760563,0.549295775
👆,0.115942029,0.449275362
🍸,0.086956522,0.637681159
🍷,0.051094891,0.452554745
®,0.065693431,0.350364964
🍉,0.073529412,0.683823529
😇,0.066666667,0.666666667
☑,0.014814815,0.118518519
🏃,0.088888889,0.503703704
😿,0.582089552,0.201492537
│,0,0.350746269
💣,0.305343511,0.312977099
🍺,0.061068702,0.564885496
▶,0.053435115,0.267175573
😲,0.387596899,0.317829457
🎸,0.008,0.536
🍹,0.040650407,0.715447154
💫,0.033057851,0.545454545
📚,0.18487395,0.529411765
😶,0.427350427,0.282051282
🌷,0,0.551724138
💝,0.069565217,0.730434783
💨,0.104347826,0.495652174
🏈,0.061403509,0.605263158
💍,0.142857143,0.633928571
☔,0.189189189,0.486486486
👸,0.054054054,0.675675676
🇪,0.018348624,0.651376147
░,0.231481481,0.185185185
🍩,0.140186916,0.53271028
👾,0.00952381,0.380952381
☁,0.134615385,0.451923077
🌻,0.009615385,0.596153846
😵,0.32038835,0.40776699
📒,0,0.039215686
↿,0,0.666666667
🐯,0.04,0.53
👼,0.171717172,0.515151515
🍔,0.163265306,0.448979592
😸,0.113402062,0.536082474
👶,0.135416667,0.583333333
↾,0,0.666666667
💐,0.031578947,0.789473684
🌊,0.084210526,0.6
🍦,0.136842105,0.610526316
🍓,0.031914894,0.723404255
👇,0.138297872,0.393617021
💆,0.260869565,0.489130435
🍴,0.043478261,0.597826087
😧,0.391304348,0.326086957
🇸,0.087912088,0.615384615
😮,0.177777778,0.455555556
▓,0.022222222,0.033333333
🚫,0.545454545,0.090909091
😽,0.125,0.715909091
🌈,0.056818182,0.590909091
🙀,0.159090909,0.5
⚠,0.181818182,0.113636364
🎮,0.093023256,0.534883721
╯,0.226190476,0.214285714
🍆,0.071428571,0.488095238
🍰,0.154761905,0.619047619
✓,0.107142857,0.404761905
👐,0.397590361,0.373493976
🙇,0.289156627,0.43373494
🍟,0.168674699,0.481927711
🍌,0.12195122,0.573170732
💑,0.06097561,0.743902439
👬,0.353658537,0.292682927
🐣,0.148148148,0.641975309
🎃,0.074074074,0.691358025
▬,0,0.481481481
￼,0.543209877,0.049382716
😟,0.35,0.425
🐾,0.102564103,0.730769231
🎓,0.090909091,0.675324675
🏊,0.025974026,0.623376623
🍫,0.289473684,0.447368421
📷,0.092105263,0.539473684
👄,0.066666667,0.56
🌼,0.013513514,0.824324324
🚶,0.378378378,0.22972973
🐱,0.136986301,0.671232877
║,0,0.150684932
🐸,0.333333333,0.25
🇺,0.112676056,0.676056338
👿,0.671428571,0.114285714
🚬,0.114285714,0.657142857
✿,0.028571429,0.428571429
📖,0.264705882,0.441176471
🐒,0.014705882,0.558823529
🌍,0.073529412,0.691176471
┊,0,1
🐥,0.059701493,0.671641791
🌀,0.151515152,0.257575758
🐼,0.060606061,0.333333333
🎥,0.121212121,0.424242424
💄,0.090909091,0.545454545
💸,0.242424242,0.409090909
⛔,0.076923077,0.584615385
●,0.123076923,0.307692308
🏀,0.203125,0.46875
💉,0.171875,0.546875
💟,0.047619048,0.761904762
🚗,0.129032258,0.370967742
😯,0.258064516,0.387096774
📝,0.129032258,0.370967742
═,0,0.016129032
♦,0.098360656,0.573770492
💭,0.166666667,0.383333333
🌙,0.051724138,0.672413793
🐟,0.034482759,0.75862069
👣,0.103448276,0.465517241
☞,0,0.120689655
✂,0.586206897,0.103448276
🗿,0.086206897,0.551724138
🍝,0.280701754,0.403508772
👪,0.421052632,0.403508772
🍭,0.157894737,0.473684211
🌃,0.053571429,0.464285714
❌,0.25,0.535714286
🐰,0.072727273,0.690909091
💊,0.145454545,0.6
🚨,0.109090909,0.781818182
😦,0.555555556,0.166666667
🍪,0.185185185,0.518518519
🍣,0.452830189,0.20754717
╭,0.056603774,0.226415094
✧,0.018867925,0.358490566
🎆,0.038461538,0.788461538
╮,0.096153846,0.230769231
🎎,0,0.960784314
🇩,0.019607843,0.666666667
✅,0.058823529,0.490196078
👹,0.265306122,0.326530612
📱,0.081632653,0.408163265
🙍,0.591836735,0.244897959
🍑,0.244897959,0.510204082
🎼,0.040816327,0.387755102
🔊,0.081632653,0.510204082
🌌,0.106382979,0.659574468
🍎,0.127659574,0.468085106
🐻,0.127659574,0.595744681
─,0,0.14893617
╰,0.14893617,0.085106383
💇,0.152173913,0.5
♬,0.086956522,0.347826087
♚,0,0.043478261
🔴,0.022222222,0.444444444
🍱,0.555555556,0.222222222
🍊,0.133333333,0.577777778
🍒,0.133333333,0.466666667
🐭,0,0.733333333
👟,0.111111111,0.555555556
🌎,0.113636364,0.454545455
🍍,0.159090909,0.659090909
🐮,0.046511628,0.674418605
📲,0.162790698,0.418604651
☼,0.046511628,0.255813953
🌅,0.142857143,0.523809524
🇷,0.023809524,0.738095238
👠,0.142857143,0.523809524
🌽,0.119047619,0.595238095
💧,0.487804878,0.317073171
❓,0.170731707,0.243902439
🍬,0.195121951,0.585365854
😺,0.2,0.625
🐴,0.2,0.275
🚀,0.05,0.575
¦,0.175,0.8
💢,0.15,0.4
🎬,0.05,0.35
🍧,0.225,0.55
🍜,0.225,0.65
🐏,0.05,0.65
🐘,0.225,0.25
👧,0.25,0.4
⠀,0.15,0.2
🏄,0.051282051,0.615384615
➤,0,0.333333333
⬆,0.025641026,0.333333333
🍋,0.157894737,0.421052632
🆗,0.157894737,0.736842105
⚪,0,0.486486486
📺,0.081081081,0.486486486
🍅,0.243243243,0.621621622
⛅,0.108108108,0.594594595
🐢,0.162162162,0.378378378
👙,0.081081081,0.621621622
🏡,0.138888889,0.611111111
🌾,0.138888889,0.722222222
◉,0,0.277777778
✏,0.085714286,0.457142857
🐬,0.057142857,0.514285714
🍤,0.171428571,0.228571429
🇹,0,0.628571429
♣,0.114285714,0.485714286
🐝,0.142857143,0.371428571
🌝,0.147058824,0.352941176
🇮,0,0.647058824
🔋,0.647058824,0.117647059
🐍,0.088235294,0.470588235
♔,0,0.588235294
🍳,0.393939394,0.424242424
🔵,0.121212121,0.454545455
😾,0.606060606,0.242424242
🌕,0.090909091,0.696969697
🐨,0.121212121,0.606060606
🔐,0.181818182,0.545454545
💿,0,0.666666667
❁,0,0.060606061
🌳,0.0625,0.59375
👰,0.09375,0.625
❀,0,0.4375
⚓,0.0625,0.6875
🚴,0,0.71875
▀,0.3125,0.15625
👗,0.161290323,0.419354839
➕,0.129032258,0.709677419
💬,0.133333333,0.533333333
▒,0.066666667,0.033333333
🔜,0.166666667,0.466666667
🍨,0.266666667,0.5
💲,0,0.266666667
⛽,0.033333333,0.2
🍙,0.172413793,0.482758621
🍗,0.310344828,0.379310345
🍲,0.24137931,0.379310345
🍥,0.75862069,0.103448276
▸,0,0.24137931
♛,0.137931034,0.344827586
😼,0.178571429,0.571428571
🐙,0.071428571,0.5
👨,0.071428571,0.642857143
🍚,0.214285714,0.714285714
🍖,0.25,0.392857143
♨,0,0.964285714
🎹,0,0.392857143
♕,0,0.428571429
▃,0,1
🚘,0.296296296,0.37037037
🍏,0.259259259,0.333333333
👩,0.333333333,0.407407407
👦,0.185185185,0.333333333
🇬,0.074074074,0.37037037
🇧,0.074074074,0.37037037
☠,0.259259259,0.222222222
🐠,0.153846154,0.615384615
🚹,0.038461538,0.807692308
💵,0.115384615,0.538461538
✰,0,0.884615385
╠,0,0.230769231
👛,0.16,0.56
🚙,0.2,0.24
🌱,0,0.64
💻,0.04,0.32
🌏,0.12,0.48
▄,0.32,0.24
👓,0,0.333333333
◄,0,0.25
⚾,0.375,0.333333333
🌲,0.086956522,0.52173913
👴,0.217391304,0.47826087
🏠,0.043478261,0.608695652
🍇,0.217391304,0.52173913
🍘,0.217391304,0.652173913
🍛,0.347826087,0.391304348
🐇,0.173913043,0.434782609
🔞,0.260869565,0.217391304
👵,0.217391304,0.695652174
◀,0,0.304347826
🔙,0.086956522,0.304347826
🌵,0.260869565,0.47826087
🐽,0.227272727,0.363636364
🍮,0.454545455,0.318181818
🎇,0.045454545,0.818181818
🐎,0.090909091,0.545454545
➔,0.136363636,0
💶,0.136363636,0.136363636
🐤,0.045454545,0.636363636
╩,0,0.227272727
🛀,0.285714286,0.428571429
🌑,0.095238095,0.619047619
🚲,0.047619048,0.476190476
🐑,0.285714286,0.095238095
🏁,0,0.571428571
🍞,0.285714286,0.333333333
🎾,0.095238095,0.714285714
╚,0,0.333333333
🈹,0.047619048,0.380952381
🐳,0.2,0.35
👮,0.5,0.1
☹,0.7,0.1
🐵,0.05,0.6
✪,0,0.35
◕,0,0.5
🗼,0.05,0.65
▐,0.2,0.05
♠,0,0.35
┳,0.5,0.1
👺,0.421052632,0.210526316
🐚,0.052631579,0.315789474
👂,0.368421053,0.210526316
🗽,0.052631579,0.421052632
🍵,0.157894737,0.578947368
🆒,0,0.421052632
🍯,0.368421053,0.421052632
🐺,0.105263158,0.368421053
⇨,0,0.526315789
➨,0.105263158,0.263157895
🌓,0,0.684210526
🔒,0.263157895,0.473684211
╬,0.315789474,0.157894737
👳,0.111111111,0.833333333
🌂,0.111111111,0.388888889
🚌,0.111111111,0.333333333
♩,0,0.611111111
🍡,0.277777778,0.222222222
❥,0,0.277777778
🎡,0.055555556,0.388888889
💌,0.117647059,0.705882353
🐩,0,0.411764706
🌜,0,0.588235294
⌚,0.117647059,0.352941176
🚿,0.058823529,0.764705882
🐖,0,0.176470588
🔆,0,0.647058824
🌛,0,0.647058824
💂,0.470588235,0.294117647
🐔,0.058823529,0.411764706
🙎,0.470588235,0.411764706
🏩,0.125,0.625
🇫,0,0.5625
🔨,0.375,0.25
📢,0,0.5
🐦,0,0.5
🐲,0.125,0.0625
♻,0,0.5625
🌘,0,0.6875
🍐,0.3125,0.5
🌔,0,0.6875
╥,0.375,0.5
❊,0,0
👖,0.066666667,0.466666667
🚺,0.133333333,0.333333333
😗,0.066666667,0.8
🎭,0.333333333,0.333333333
🐄,0.133333333,0.466666667
◟,0.133333333,0.066666667
🍢,0.333333333,0.2
🎨,0.066666667,0.266666667
⬇,0.133333333,0.6
🚼,0,0.666666667
⛲,0.066666667,0.133333333
▁,0,0
🇴,0,0.4
🌗,0,0.733333333
🌖,0,0.733333333
🔅,0,1
👜,0.142857143,0.428571429
🐌,0,0.785714286
💼,0.071428571,0.714285714
🚕,0.214285714,0.214285714
🐹,0.214285714,0.571428571
🌠,0.142857143,0.785714286
🐈,0,0.357142857
⇧,0,0.142857143
☎,0.142857143,0.142857143
🌁,0.071428571,0.285714286
⚫,0.214285714,0.5
♧,0,0.571428571
🏰,0.071428571,0.428571429
🚵,0,0.428571429
🎢,0.071428571,0.642857143
🎷,0,0.785714286
🎐,0,0.214285714
┈,0.857142857,0.142857143
╗,0,0.428571429
╱,0,0
🌇,0,0.615384615
⏰,0.153846154,0.692307692
⇩,0,0
🚂,0,0.307692308
◠,0,0.538461538
🎿,0.076923077,0.538461538
✦,0,0.076923077
🆔,0,0.923076923
⛪,0.153846154,0.307692308
🌒,0,0.692307692
🐪,0,0.692307692
╔,0,0.307692308
╝,0,0.538461538
👔,0.166666667,0.583333333
🔱,0.25,0.333333333
🆓,0,0.25
🐋,0.166666667,0.416666667
▽,0.083333333,0.583333333
▂,0,0
🐛,0.166666667,0.5
👕,0.083333333,0.583333333
🚋,0,0.083333333
💳,0.083333333,0.583333333
🌆,0.166666667,0.333333333
🏧,0,1
💡,0,0.75
🔹,0.166666667,0.333333333
⬅,0,0.583333333
🍠,0.416666667,0.416666667
🐫,0,0.416666667
🏪,0.166666667,0.25
۩,0,0
🇱,0,0.5
📹,0.090909091,0.636363636
👞,0.090909091,0.636363636
🚑,0.272727273,0.363636364
🆘,0.363636364,0.454545455
👚,0,0.727272727
🚍,0.363636364,0.454545455
□,0.636363636,0.363636364
🐂,0.090909091,0.272727273
🚣,0,0.727272727
✳,0,0
🏉,0,0.636363636
🗻,0,0.727272727
🐀,0.090909091,0.272727273
╦,0,0.454545455
⛺,0.1,0.7
🐕,0.1,0.4
🏂,0.1,0.6
👡,0.1,0.6
📻,0.1,0.5
✒,0.1,0.4
🌰,0,0.7
🏢,0,0.2
🎒,0.1,0.7
⌒,0,0.7
🏫,0.6,0.3
📴,0.1,0.9
🚢,0.3,0.6
🚚,0.2,0.1
🐉,0,0.2
❒,0,0.3
🐊,0.2,0.3
🔔,0,1
◢,0,0.8
🏥,0.111111111,0.444444444
❔,0.333333333,0.333333333
🚖,0.333333333,0.222222222
🃏,0.333333333,0.444444444
▼,0.222222222,0.333333333
▌,0.444444444,0.111111111
☛,0,0.444444444
✩,0,0
💒,0,0.666666667
🚤,0,0.444444444
🐐,0,0.555555556
■,0.555555556,0.222222222
🔚,0.111111111,0.555555556
🎻,0,0.444444444
🔷,0,0.222222222
🚦,0.222222222,0.333333333
🔓,0.333333333,0.444444444
🎽,0,0.555555556
📅,0.222222222,0.444444444
🎺,0.111111111,0.888888889
✯,0,0
🍈,0.666666667,0.222222222
✉,0.111111111,0.444444444
╣,0,0
◤,0,1
○,0,0.625
🍼,0.125,0.75
📀,0.125,0.25
🚛,0.25,0
📓,0.125,0.375
☉,0,0.25
💴,0.375,0.125
┼,0.25,0.25
🐃,0,0
➰,0.5,0.375
🔌,0.375,0.25
🍄,0.25,0.25
📕,0.125,0.375
📣,0.125,0.625
🚓,0,0.375
🐗,0,0.625
↪,0,0.125
⛳,0,0.875
┻,0.75,0.25
┛,0,0.75
┃,0,0.5
👱,0.142857143,0.285714286
⏳,0.428571429,0.428571429
💺,0.142857143,0.428571429
🏇,0.428571429,0.285714286
☻,0.142857143,0.428571429
📞,0,0.571428571
Ⓐ,0.285714286,0.142857143
🌉,0,0.714285714
🚩,0.428571429,0.142857143
✎,0,0.714285714
📃,0,0.571428571
🏨,0,0.285714286
📌,0.714285714,0.142857143
♎,0.285714286,0.142857143
💷,0,0.571428571
🚄,0,0.714285714
▲,0,0.714285714
⛵,0,0.714285714
🔸,0,0.285714286
⌛,0.285714286,0.428571429
🚜,0,1
🐆,0,0.428571429
👒,0.142857143,0.428571429
❕,0.142857143,0.428571429
🔛,0.142857143,0.714285714
♢,0,0.428571429
🇲,0,0.571428571
❅,0,0.857142857
👝,0.166666667,0.666666667
✞,0,0.5
◡,0,0.333333333
🎋,0.166666667,0.833333333
👥,0.166666667,0.5
📵,0.166666667,0.333333333
🐡,0,0.333333333
◆,0,0.833333333
🏯,0,0.166666667
☂,0.166666667,0.166666667
🔭,0,0.5
🎪,0,0.333333333
🐜,0,0.666666667
♌,0,0.833333333
☐,1,0
👷,0.166666667,0.5
↳,0,0
🔈,0,0.333333333
📄,0,1
📍,0.166666667,0.333333333
🚐,0,0.833333333
🚔,0.166666667,0.166666667
🌋,0,0.666666667
📡,0.166666667,0.5
⏩,0,0.166666667
🚳,0,1
✘,0,0.833333333
۞,0,0
☾,0,0
🅰,0.166666667,0.5
📥,0,0
🇼,0,0.5
┓,0,0.666666667
┣,0,0.666666667
Ⓛ,0,0.5
Ⓔ,0,0.5
🔦,0,0
👤,0,0.8
🚁,0,0.2
🎠,0,0.6
🐁,0.4,0
📗,0.2,0.4
┐,0.4,0.2
☮,0.4,0.4
♂,0,0.2
◞,0.2,0.2
📯,0.2,0
🔩,0.2,0.4
👢,0,0.8
◂,0,0.4
📰,0.2,0.6
📶,0,0.4
🚥,0.2,0.2
🌄,0,0.2
🗾,0,0.4
🔶,0,0.4
🏤,0,0.4
🎩,0,0.4
Ⓜ,0.2,0.6
🔧,0.8,0.2
🐅,0,0.2
♮,0,0.2
🅾,0.4,0.2
🔄,0,0
☄,0,0
☨,0,0
📦,0,0.25
🚊,0.25,0.5
🔲,0,0.75
🔁,0.25,0.25
△,0,0.25
📆,0,1
❛,0,0.5
📉,0,0.5
▵,0,0.5
🔎,0,0.75
☜,0,0.25
🇯,0,0.5
🇵,0,0.5
📘,0.25,0.5
✡,0,0
ⓔ,0,0.75
🔑,0.25,0.5
🔃,0.25,0.25
👃,0.5,0.5
⭕,0,0.5
🔘,0,0.25
ⓒ,0.5,0.5
🚭,0,1
🚉,0,0.75
🚪,0,0.75
➳,0,0.5
🚃,0,0.75
┯,0.5,0
🏬,0,0
☽,0,0
🆙,0,0.5
🆖,0.25,0.5
☪,0,0
┗,0,1
🚮,0.5,0.5
┫,0,0
Ⓞ,0,0.5
❇,0,0.666666667
✴,0,0.666666667
┌,0.333333333,0.333333333
☊,0,1
🔕,0.666666667,0.333333333
⬛,0.666666667,0.333333333
❝,0,0
❞,0,0
🚞,0,0.666666667
🍶,0,0.666666667
🌐,0,0.666666667
♀,0,0.333333333
🚅,0,0.666666667
🚒,0.333333333,0
➣,0,0
♋,0,0.333333333
♍,0,0.666666667
🕝,0.333333333,0
ⓐ,0,1
✗,0.333333333,0.333333333
📙,0.333333333,0.666666667
Ⓢ,0,0.333333333
📋,0,0.666666667
⇢,0.333333333,0.333333333
🎱,0.333333333,0.666666667
🐞,0,0.333333333
🔺,0,0.333333333
ⓡ,0,1
🎍,0,0
♤,0,0.666666667
🎲,0,0
🎯,0,0.666666667
〠,0,0
🔉,0,0.666666667
↩,0,1
🚾,0,0.333333333
🎣,0.666666667,0
🔣,0,0.333333333
❎,1,0
➥,0,0.333333333
🅱,0,0
🎌,0,1
◣,0,0.333333333
⏬,0,1
♭,0,0.333333333
💠,0,0
ⓞ,0,1
🔳,0,0.5
🏭,0,0.5
🔰,0,0
🎳,0.5,0
☚,0,1
➽,0,0.5
➫,0,0.5
➖,1,0
🏮,0,0
📛,0,0
꒰,0,0.5
꒱,0,0.5
◝,0.5,0
📑,0,1
🎦,0,0
ⓧ,0,1
🇨,0,0
🇳,0,0
🔟,0,1
〓,0,1
ⓜ,0,0.5
➠,0,1
🚆,0,0.5
🚠,0,0
℅,1,0
☃,0,0.5
🚽,0,1
📐,0,0
ⓝ,0,1
✮,0,0
⇦,0,1
👲,0,0.5
🚡,0.5,0
🎑,0,0
🔬,0,1
➗,0.5,0
📈,0,0.5
⌘,0,0
⏪,0,0.5
╹,0,0
◎,0,1
🔼,0,0
꒦,1,0
📎,0,1
⑅,0,1
⍝,0,0
📁,0,0
✭,0,1
➲,0,0
♓,0,0.5
┏,0,1
☇,0,1
♺,0,0
♞,0,0
࿎,1,0
📠,0,0
👘,0,1
↙,0,1
Ⓕ,0,0.5
Ⓦ,0,0.5
Ⓟ,0,0.5
🕑,0,0.5
💽,0,0
🕛,0,1
🎫,0,0
♈,1,0
📟,0,0
℃,0,0
↬,0,1
🕒,0,0
🇰,0,0
↱,0,0
✍,0,1
⇐,0,0
🏦,0,1
🔻,0,1
ⓟ,0,1
ⓕ,0,1
ⓘ,0,1
♿,0,1
⇗,0,1
⇘,0,1
ⓨ,0,1
ⓙ,0,1
▫,0,1
🔇,0,1
⌃,1,0
🔖,0,1
📜,0,1
♏,0,0
🚝,0,1
☢,0,0
🎏,0,0
┘,1,0
✝,1,0
❖,0,0
⍣,1,0
📮,1,0
🕕,1,0
🇭,0,0
◜,0,0
🔯,0,1
➸,0,1
꒵,0,1
🕥,1,0
♙,0,0
▿,0,0
⚃,0,0
✽,0,1
📼,0,1
🕐,1,0
🀄,0,1
✾,0,0
✬,0,1
🆑,0,0
✫,0,1
🕔,1,0
❣,0,1
➱,0,0
🆕,0,0
➢,0,0
↕,0,0
📫,0,1
🉐,0,1
♊,0,0
🈂,1,0
🎰,1,0
҂,1,0
╤,1,0
➛,0,0
♝,0,0
❋,0,0
✆,0,0
📔,0,1
